龚	垄,詟,龛,陇,巽
壽	籗,藼,夀,薫,賷,薷,晝,震,禀,臺,畵,謇,夁,畫
夀	籗,藼,薫,壽,薷,晝,賷,震,臺,畵,夁,畫
薷	藼,薫,夀,藿,蘎,壽,籗
藼	籗,夀,薫,蘎,壽,薷,晝,震,臺,畵,夁,畫
霓	藼,夀,壽,薷,晝,賷,震,籗,露,畫,斍
毒	夀,薫,藿,賷,晝,窴,臺,籗,毐,畫
籗	蟗,藼,夀,薫,藿,讐,諅,簠,晝,薷,賷,鳘,籱,臺,謇,畵,篢,畫,箽,簄
薫	藼,夀,藿,羹,摹,晝,薰,薷,賷,臺,籗,畫,箽
惪	夁,藼,悳
鼻	籗,薫,羹,摹,晝,臺,夁,畫
㐣	廈,黂,臺,懬,廤,麍,夁
㠀	夁,畵,鳧,蟇
夂	夊
夊	夂
夆	箪,夈
夈	粂,夆
夅	夈
粂	粊,夈
夌	麦
麦	夌
隻	雙,复
㚆	葽,妻,复
夏	槖,裏
鳬	裊,臱,属,夏,鳧
夑	燮,爕
燮	夑,爕
爕	燮,夑
夒	夔
夓	夒
夔	夒
䕫	夔
夗	夘
夘	夗
夡	
㩼	夡
夤	蕢
䔈	寬,蒷,薔,夤,蕭,簫,農,賚,簀,贊,竇,舊,蕢,蒖,蓸,蔁,菁,費,蕡,賌
夥	
黟	夥
天	灭,夭
丆	灭,天
太	犬
犬	太
夬	
尖	夹,央
夻	暜,夳,盇,杏,奋
杢	宝,夳,杏,空
盇	夻,夳,衁
㚎	夻,夳,盇,杏,杳
夵	
夶	
㹜	夶
夾	夹
㚒	夹,夾
夽	奈,奃
奈	夽,柰
夿	奋
奁	奆
奆	奁
㚗	奆,奁
奃	奄
竒	奆
柰	奈
泰	奉
秦	奉,春,舂
荤	荦,蒪,奉,草
	泰,奉,秦,舂,春
夼	奋
旮	昚,奋
奌	果,奐
奐	狊,烉,奌
奎	宝
烉	奐
狊	臭,萬,昊,奐
奘	焋
焋	奘
奜	猆,斐
猆	奜,婓
㮚	薁,奠
䓴	奠,莫,菓,菒,薁
奢	窘,箸
窘	宥,奢
箸	奢,箠
㝜	宥,育,窘,菅,萻,箸,奢
䒿	育,莞,菅,萁,蒮,茸,萓,奢,荂
奧	黑,薁
奪	藼,蕚,奮
奮	奪
奯	薉
薉	奯
奱	轡,灓,欒
欒	奱,灓
灓	戀,曫,奱,孌,欒
	奱,孿,灓
㡩	奱,灓,轡,欒,巒
㪻	奱,巒
奲	韗
韗	奲,韠,韔,韝,韘
奷	竏,妊,奸,妅,好,妦
好	杍,奷,奸,妦,妤
妅	妵,妊,奷,矼,奸,好
妊	奸,奷,妅
妦	妵,奷,奸,妋,好
竏	奸,妊,奷,竍
㚥	竏,妊,奷,杅,奸,妅,好,妦,扜
矸	玕,砡,盱,矴,矷,矼,玗,砗,奸,盰,旰
妤	好,杼
奾	舳,姃,妕
妕	奾
姃	奾
妞	妃,妬
妬	妃,妞,妇
妵	跓,妦,妅
矼	砡,矸,妅
妇	妬,昍
妋	妷,妦,姎
姎	妋,映,妷,殃
砆	妋,硃,玞
妌	姘
妍	妌,研
姘	妌
硑	妌,硔,研
妎	砎,妍
姸	妍
研	钘,硑,訮,妍
㚦	妎,妍
䀘	訮,研,妍
砎	妎,矶
妑	
㚶	姫,婄,妑,姡,姐,姖
㚧	妒
妔	妧
㚮	妔,妧
妽	胂,姅,妯,妕
姈	妗
妚	杯
㚰	妚
妛	
㞿	旻,妛
妜	
袂	妜,抉
㭈	玦,妜,抉,袂
妝	肗
肗	妝
妠	娋
妉	妠
姞	婄,妠
娋	睄,陗,妠
妡	斫
㚱	妡
杼	杍,抒,桶,紓,柽,秄,忬,杅,妤
妧	
妮	昵,铌,抳
抳	铌,柅,抈,妮
昵	阨,妮,眤
铌	抳,妮
䛏	铌,誷,眤,昵,諰,妮
妯	妽,鈾,姑,姌
姉	妯,娕,姌
姌	柟,蚺,妯,姁,姉
妸	姮,柯,姐,砢,妲
姐	姆,姫,袓,姖,妸,妲
姖	姫,姐,歫,娦,娝,妲
姮	姐,妲,妸
妷	胅,袟,姎
胅	眣,胠,朕,肤,妷
袟	衭,袪,祛,妷,祑,抶
柯	袔,抲,钶,珂,妸,牱,轲,鈳,炣
砢	砪,珂,牁,妸
钶	袔,柯,珂,妸,牱,轲,鈳
妺	妹,姝,抺
姝	妹,妺
祙	怽,铢,抺,袜,妹,枺,株
抺	怽,祩,妺,袜,祙,枺,粖,秣,袾
袜	祩,抺,妺,祙,枺,粖,袾
妻	婱,尃,専,萋,葽
婯	葽,妻
婱	葽,妻
嬃	頾,妻
専	尃,曺,萬,妻
昊	狊,妻,臭
葽	菫,婱,萎,萋,妻
蒆	萋,萎,妻,葽
㛳	萎,妻
㪅	蓃,妻
䓾	葽,妻
姅	妽
妾	
亲	妾
姁	竘
竘	昫,姁
姄	
㢯	姄,岷
䂥	姄,珉,岷
姊	
蚺	柟,蚋,蚰,蛦,姌,畘,蜫
姍	姗
姗	姍,跚,粣
㛍	姎
姫	姬,姐,姖,娦,娝
娦	姫,姐,姖
袓	姐,衻
㚩	姐
殅	姓,胜
娝	姖
歫	姖
跚	銏,姗
姚	眺
姛	婟,姠
姠	姛
婟	姻,姛
姡	娝,姞,婚,婄
婄	姡,姞,餢
姟	烗
烗	姟
㛠	娴,姠,婟
姤	
㻈	姤,瑦
姥	
㛈	媎,姥
姪	姾
姾	姶,姪
姬	姫
㛝	姮,娋
姰	眴
㚿	鉋,枹,姰
姲	
姶	婼,娢
姺	娧
娧	姺
姻	婟
姼	
姽	硊,跪,詭
硊	脆,跪,詭,姽
祪	硊,姽
詭	硊,跪,姽
秶	姿
威	烕
烕	威
娂	硔
硔	粠,硑,娂
徍	徒,桂,徙,珪,袿,娃
珪	烓,诖,桂,琜,袿,娃,徍
袿	挫,徒,桂,珪,娃,徍
娅	婭,桠
婭	娅
桠	挜,桺,栖,椪,稏,娅,栭,椏,柶
媳	嬑,熄,娉,媤,媴
梬	梋,娉,榶,樬
㜍	媡,嫝,榶,娉,嫄
䀻	眴,聘,娉,贃
䛣	娉,諻,諠,諀,諄
娊	
娟	娼,睊,娊,媜
婗	娊
䙺	規,娊
㛚	娲,踊,娋,婙,硧
婐	粿,娚,綶,娻,娌
媤	楒,嫼,腮,锶,缌,禗,娌
捚	梩,悝,狸,棟,裡,貍,娌
貍	捚,狸,娌
娔	殑,娕
娕	娔
殑	娔
竦	娕,綀
娗	脡,娫
脡	娗,脠
铤	梴,娗,烶,挻,梃,綎
䅍	娗,綎
娚	婐,甥
甥	娚
㭷	棟,娚,甥,栶,桐
娛	娯
娯	娛
㛼	娝
娞	脮
脮	娞
㱣	娞
娼	娨,娟,殟
媜	楨,嫫,娟
㛲	娨,娼,娟
娠	裖,婤
祳	桭,裖,娠
裖	裯,祳,桭,娠
䀼	脤,裖,娠,睭
娢	
娣	焍,婵,梯
焍	悌,娣,绨,祶,稊,锑,梯
祶	娣,绨,禅,稊,锑,焍,梯
硪	娥,睋
锇	饿,娥,睋,珴
㧴	饿,娥,锇,珴
娨	娼,貋
垾	娨,貋,穓
貋	娨
晩	娩,晲,晚,晛
㛟	娩
㻊	娩,晚,梚
娴	
娵	棷,諏,陬
棷	娵,陬,檝,諏,椰
諏	娵,譀,陬
陬	娵,棷,諏
㖩	娵,諏,陬
娶	嬖,婜,媐
婜	娶,嬖,媐
嬖	娶,鐾,婜,糪
娷	綞
䅜	綞,娷
褀	稘,祺,綨,娸
㙋	綨,掑,祺,稘,娸,褀
娹	
㭹	娹
棳	綴,掇,娺,裰,惙,辍
辍	棳,諁,娺,綴
䄌	綴,掇,娺,裰,棳,惙,辍
媗	媍,嬉,娻
㛘	娻
娾	婮,崕,睚
㛇	桩,娾
娿	
媭	娿
婀	锕
锕	錒,婀
婁	專,軎
婃	婛,婶
婛	婃,婶
㛙	婄
婅	
椈	婅,掬
婈	棱,碐,綾,绫
棱	裬,掕,稜,婈,椶,崚,祾,绫
碐	睖,婈,稜
祾	裬,掕,碐,棱,婈,稜,綾,绫
綾	稜,婈,崚,祾,绫
绫	掕,棱,婈,稜,綾,睖,祾
㱥	碐,稜,婈,綾,睖,祾
婊	裱
裱	婊
婋	
䖐	婋
婌	踧
踧	婌
婍	
㱦	婍
祼	婐,裸,馃,粿,綶,锞,稞
粿	綶,婐,崠
锞	婐,裸,馃,粿,綶,锂,祼
㷄	婐,蜾,粿,崠,綶,锞,課
婑	矮,嫂
矮	婑
㮃	矮,楼,搂,捼,褛,婑
婒	
棪	琰,婒,裧
婓	猆,耍
婕	媡,媴,媫
媡	煉,揀,婕
媴	媋,媳,婕
㜇	嬑,婕
婖	
㖭	婖
䋬	婖,舔
婘	裷,綣,犈,錈,睠
犈	裷,綣,婘,錈,睠
睠	婘,睶,綣,錈
綣	裷,婘,犈,睠,錈,绻
錈	裷,綣,婘,犈,睠
婙	
婚	
媐	婜,嫛
婝	綻
婞	緈,婶
䁄	婞,時,緈
婠	
媎	陼,婠
㛭	婠,媎
㛽	婡
䅘	秼,稡,睞,猍,婡,稞
婢	椑,稗,陴,裨,焷
焷	婢,粺
稗	椑,婢,猈,粺,稙,裨,稹
裨	椑,婢,陴,稗
陴	稗,婢,隗,裨,睥
婣	裫,棩
棩	裫,婣
裫	婣,棩
媥	斒,稨,猵,褊,犏,碥,婤,楄,煸
禂	皗,袻,綢,裯,碉,婤
綢	皗,裯,绸,睭,稠,蜩,婤,晭
裯	皗,綢,绸,碉,徟,睭,禂,稠,蜩,婤,晭
婦	
婧	嫃,嫥,孂,媠
嫥	嫨,婧
婨	媔,稐,論,碖,睔,綸
睔	論,碖,瞒,婨,瞝,綸
碖	婨,稐,論,睔
綸	婨,稐,論,睔
㫻	稐,論,碖,瞒,婨,睔,綸,陯
㷍	稐,論,碖,婨,綸
婩	硸
硸	婩
婫	馄,锟,焜,崐,辊,绲,媪,緄,猑,琨,錕,裩
緄	锟,辊,崐,緭,婫,錕,裩
绲	馄,锟,焜,婫,緄,惃,猑,琨,錕,裩,棍
裩	馄,锟,焜,崐,視,辊,绲,婫,琨,緄,惃,猑,掍,錕,棍
辊	崐,婫,緄,猑,錕
锟	馄,焜,崐,辊,绲,婫,琨,緄,惃,猑,掍,錕,裩,棍
婬	嬅,嫍
嫍	婬,縚
嬅	婬,硾
琚	婮,裾,鋸,椐
椣	睓,婰,猠,琠
猠	椣,婰,睓,琠
琠	碘,猠,椣,睓,婰
㙉	椣,婰,睓,琠
媝	婱
婲	椛
婳	媔
婶	
㛻	婶
嫴	婷,橭
揨	婷,楟
楟	婷,揨,橭
㷚	婷,揨,熇
媂	婻,嫎,揥
揇	楠,婻,煵,捒
楠	揇,婻,煵
煵	揇,烳,婻,暔
婼	睰
㛺	婼
婽	縀,睱
睱	婽,貑,腶,縀,腵,碬
縀	婽,網,睱
㗇	婽,煆,暇,貑,碬,睱,猳
婿	縃,媦
縃	婿,楈,緭,縉
椲	捀,愇,稦,煒,媁,樿,褘,瑋,禕,桻,徫
煒	諱,愇,椲,媁,瑋,禕,緯,燀
瑋	暐,愇,稦,煒,媁,椲,褘,禕
禕	暐,愇,稦,椲,媁,煒,褘,瑋,徫
緯	綘,幃,諱,煒,媁,椲
㙔	諱,愇,稦,煒,媁,椲,褘,瑋,禕,緯
嫎	媂
揥	媂,褅,楴
㛿	媂
媅	煁,媒,揕,椹,碪,愖
愖	煁,谌,椹,揕,媅
揕	煁,谌,椹,愖,媅
煁	谌,椹,揕,愖,媅
㻣	煁,揕,椹,碪,谌,愖,媅
媆	碝,煗,緛,愞
愞	媆,煗
煗	媆,碝,緛,愞
碝	碘,媆,陾,煗,緛
緛	媆,陾
㬉	媆,陾,煗,腝,緛,碝
媇	榇
榇	媇,楛
娓	媉
䌂	腛,媉,緭,緾,幄
媊	揃
揃	瑐,媊,椾
瑐	媊,椾,揃
㿤	蝽,暙,睶,媋
媍	嫃,媗,嫹
嫹	曂,媍,殥,横,磺,穔
煓	媏
㙐	諯,椯,媏,煓
嫛	毉,媐
㜭	媑,礑
媹	蹓,馏,媓,鎦,熘
揘	梬,惇,摀,楻,提,媓,捳,掉,椁,锽,徨,揎,煌
媖	
媙	碱,隇,楲,椷,縅,煘,揻,緘
椷	碱,媙,楲,瑊,縅,煘,揻,缄,緘
煘	碱,媙,楲,瑊,椷,縅,揻,緘
碱	隇,媙,楲,瑊,椷
縅	隇,媙,楲,煘,縬,緘
㛾	碱,媙,楲,椷,縅,煘,緘
猸	煝,镅,媚,楣
镅	猸,煝,媚,楣
媛	嫒
嫫	嫇,镆,獏,馍,媜
媞	褆,睼,緹,缇,隄,禔
緹	褆,睼,缇,隄,媞,禔,碮,崼
褆	緹,缇,媞,惿,禔,碮,裮,蝭,崼,徥
媟	煠
煠	媟,煤
媾	搆,媠,講,褠,耩,構,煹
㨂	媡,挿,揀,捒,捙,抽,揷,掉,梀,煉,楝
媢	嫣,嫟,媦,焨
焨	煟,煬,媢
㛰	媢,媦
嫼	媤
楒	悝,榑,媤,棵,禗
禗	楒,諰,媤,锶,缌
缌	锶,腮,禗,媤
锶	楒,媤,锂,缌,禗
斒	蹁,媥,編,碥,蝙
煸	稨,褊,媥,煽,惼,犏,徧,谝,搧,熝,楄,揙
犏	稨,猵,褊,媥,楄,煸
猵	媥,稨,犏
碥	斒,蹁,猵,媥,編,蝙
稨	猵,褊,媥,犏,徧,谝,楄,揙,煸
編	斒,蹁,鍽,媥,牑,碥,蝙
褊	煸,稨,猵,媥,煽,惼,犏,徧,谝,搧,楄,揙
㜙	媥,樚
㻞	稨,猵,褊,媥,犏,谝,碥,楄,揙,煸
嫘	镙,摞,媦,磥,缧
嫮	孋,謣,摴,媦,嬬,嶀,樗,孀
緭	縃,媦,謂,煟,稩,緷
媨	禉,緧,煪
煪	楢,緧,猶,禉,媨
禉	煪,楢,緧,猶,媨
緧	煪,楢,猶,禉,媨
㛉	媨
㻥	煪,楢,璢,緧,禉,媨
媩	煳,楜
楜	糊,煳,楖,媩,猢
㜀	媩
嫟	媼,嫗,暱,媪
縕	媼,搵,膃,熅,媪,褞
㜋	媼,媪
媬	
㨐	媬,椺
媰	縐,煼
煼	媰
縐	媰,犓
䅳	媰,縐,犓
䐢	媰,縐,犓
揺	摇,愮,榣,猺,媱,熎
熎	猺,愮,媱,揺,煄
㮩	楻,摀,熄,槵,楾,樬,媳
㨬	褤,媴
磂	鎦,蹓,媹,餾
蹓	骝,磂,馏,媹,鎦,餾
鎦	蹓,磂,媹,馏,餾
馏	蹓,媹,镏,鎦,熘
媺	嬍,嫐
嫐	媺
嬍	媺
㜟	媺,譀,撖,嫐,瞰
媻	
嫢	媻
媽	榪,碼,獁
榪	媽,楬,碼,瑪,獁
碼	媽,榪,瑪,獁
煹	搆,媾,講,褠,煄,耩,構,熯
耩	搆,媾,講,褠,構,煹
褠	搆,棈,媾,掅,講,耩,褈,構,煹,橫,楕
講	搆,媾,譆,褠,耩,構,煹,請,謓,謹
媿	磈,槐
磈	媿,隗,槐
䌆	槐,螝,媿,磈,絏
搸	椿,摏,嫀,縥,榛,揍,獉
榛	椿,楱,嫀,縥,揍,搸
榢	镓,嫁,椽
镓	榢,嫁
嫂	
稹	缜,禛,穗,稙,搷,嫃,槙
嫄	縓,嫝,獂
嫝	嵻,躿,槺,穅,嫄,糠
獂	縓,嫄
縓	嫄,獂
㷧	縓,嫄,煻,獂
㹉	縓,嫄,獂
嫅	縒,槎,褨,磋
縒	褨,嫅
褨	縒,槎,嫅
嫇	瞑,榠,暝,猽,嫫
暝	嫇,瞑,榠,睻,猽
榠	嫇,瞑,桋,猽,禎,稕,糢,暝,熐,榬,椁,楨
猽	嫇,瞑,獏,榠,暝,獉,獛
瞑	嫇,瞜,榠,暝,睻,猽
熒	嫈,榮
嫋	榒
榒	嫋,愵,棚
縚	槄,嫍
䄘	螃,榜,耪,縍,嫎
㜯	嫐
嫔	缤,摈
嫖	標,缥,螵,磦,謤,褾,鏢,膘,縹,熛,瞟,镖
磦	標,螵,褾,嫖,膘,鏢,縹,熛,瞟
縹	標,缥,螵,謤,骠,褾,嫖,膘,鏢,熛,瞟,镖
螵	標,褾,嫖,蟂,鏢,縹,熛
謤	鏢,嫖,膘,縹,瞟
鏢	標,螵,骠,褾,嫖,膘,鐸,鳔,钁,縹,熛
骠	螵,鏢,嫖,膘,鳔,縹,熛,瞟
䅺	標,螵,褾,嫖,鏢,縹
嫕	嫗
彄	謳,樞,熰,嫗,瞘,膒,貙
樞	嶇,熰,嫗,彄,楃,摳,慪,楅
膒	謳,嫗,瞘,彄,軀,鏂,貙
謳	嶇,熰,嫗,瞘,彄,軀,鏂,膒,貙
貙	謳,嶇,嫗,瞘,彄,軀,鏂,膒
軀	謳,嶇,饇,嫗,瞘,鏂,軅,膒,貙
䌔	謳,嶇,饇,嫗,瞘,軀,鏂,膒,貙
䙔	樞,嶇,熰,嫗,彄,摳,鏂,褗,貙
磥	嫘,镙,摞,樏,缧
缧	嫘,镙,摞,磥,縲
㹎	嫘,镙,摞,螺,鏍,磥,樏
嫙	镟,縼,暶
暶	嫙,暆,镟
縼	嫙,鏇,镟
镟	嫙,縼
䁢	嫙,鏇,縼,暶
䃠	嫙,鏇
縵	缦,幔,鏝,謾,鳗,饅,镘,蟃,嫚
嫜	暲
嵻	嫝,鏮,崠,躿,槺,螗,穅
槺	榶,嫝,槹,嵻,檍,穅,糠
穅	榶,嫝,嵻,穗,槺,稉,糠
嫞	
嬞	嫞,嫤
㺎	槦,嫞
暱	嫟,隁
㥾	愝,嫟,暱
䁥	嫟,暱
樀	謫,熵,镝,嫡,鏑
謫	謪,镝,嫡,鏑,樀
镝	謫,樀,嫡
㯊	楊,嫣
嫤	嫨,嬞
嫨	殣,嫥,暵,嫤
嬪	礗,殨,擯,檳,嫧
幘	歵,皟,耫,蹪,幩,鞼,績,嫧,鏆
磧	績,嫧,樍,積
㜐	嫧
暵	謹,嫨
殣	謹,嫨,螼,饉
嫩	嫰
嫰	嫩,樕
獏	镆,馍,猽,獉,嫫
镆	獏,谟,嫫,馍
馍	谟,镆,獏,摸,嫫
嫬	熫
熫	嫬
㙤	鏬,嫭,鎼,摢
㻯	嫭,摢
嬬	臑,燸,礝,嫮,繻,曘,糯,獳,檽,蠕,孀,隭
摴	嫮,襦,攉,樗
樗	欜,摴,嫮,襦,攉
謣	譳,嫮,謂,嶀,諝
㻬	嫮,樗,摴,嶀
嫯	赘,嫳
嫳	嫯,獘,暼
樕	嫰
嫱	樯
樯	檣,橲,嫱,穑
暼	幣,獘,嫳
獘	暼,嫳
橭	桻,嫴,柙
㛔	嫴
䐻	嫴,膊
膴	瞴,嫵,譕,腑
嫶	譙,燋
燋	嫶,譙
嫷	橢,憜
憜	橢,撱,嫷
橢	橳,撱,嫷,憜,樄
䜏	嫷
嫸	膳
膳	嫸
㷽	膳,嫸
横	嫹,穔,模
殥	嫹,縯,螾,瞚
磺	嫹,璜
穔	嫹,横,模,鏔,獚
嫺	橌,憪,嫻,襉,譋,繝,礀,讇,瞯
嫻	嫺
瞯	鐗,瞤,憪,橌,襉,瞷,繝,嫺,譋,礀
礀	鐗,憪,橌,襉,譋,瞷,嫺,瞯
繝	鐗,綱,憪,橌,襉,嫺,讇,瞯
讇	譋,繝,嫺,讕,瞯
䌪	襉,繝,嫺,讇,瞯
㯗	熌,樞,嫻,欋,橺,欄
㩏	摞,嫼
㷵	熚,嫼
䁫	嫼
䆀	嫼,稫
嫽	瞭,燎,蹽
蹽	燎,蟟,瞭,嫽,鐐,蹿
嫾	橉,繗
繗	嫾,瞵,橉,暽
嫿	澅,嬶,檯,檀,嬗,繣
嬏	嫿,皤
嬶	嫿,嬝
繣	澅,膻,檯,繵,嫿,襢
䐸	嫿,繣
璒	嬁,嶝,鐙,燈,镫
竳	嶝,艠,嬁,鐙
嬂	識,膱,旘
旘	識,蟙,嬂,膱
樴	熾,嬂,織,職
膱	嬂
蟙	軄,嬂,旘
識	嬂,膱,旘
頾	嬃
嬄	殪
硾	睡,諈,嬅,錘
嬆	
積	歵,檟,殨,繢,襀,鐀,嬇,績,樍
㜱	嬇,礩
熺	橲,嬉
繥	緟,饎,禧,嬉
嬊	
㷼	嬊
樿	楫,譂,襌,襗,捀,楎,暺,橝,檡,椲,繟,榗,褌,揮,嬋
嬎	嬔
嬔	嬎
旙	膰,皤,嬏
磻	譒,鐇,皤,膰,嬏,羳
嬐	
檍	嬑,橦,槺
嬒	譮,懀,糩,襘,繪,禬,檜
禬	瞺,懀,糩,徻,獪,嬒,襘,璯,橹,繪,檜
糩	譮,燴,懀,嬒,襘,璯,繪,禬,檜
繪	譮,糩,嬒,襘,禬,檜
襘	燴,瞺,懀,糩,徻,獪,嬒,璯,橹,繪,禬,檜
譮	嬒,繪
糪	嬖,甓,擘,繴,鐾
鐾	繴,嬖,糪,鑒
䢃	嬖
膻	璮,繵,鳣,檀,襢,嬗,繣,饘,譠
䁴	膻,瞌,璮,繵,鳣,檀,襢,嬗,繣,饘,譠
䃪	膻,璮,蟺,繵,鳣,檀,襢,澶,嬗,饘,譠
嬘	檖
檖	穟,嬘,璲,襚,禭
嬙	檣,穡
檣	嬙,掅,樯,穡,懎,繬
穡	檣,嬙,稿,穯,穑,懎
嬚	臁,譧
臁	嬚,譧
譧	嬚,臁
嬝	嬶
嬠	繰,臊,襙,橾,缲,燥
懆	繰,襙,橾,缲,燥,嬠
橾	懆,襙,燥,嬠,棅
繰	縔,臊,襙,缲,鐰,燥,嬠
缲	繰,臊,懆,襙,橾,鐰,燥,嬠
襙	繰,臊,懆,橾,缲,嬠,棅
譟	繰,臊,鐰,嬠,躁
䆆	繰,懆,襙,缲,橾,嬠
嬣	
懧	憹,檸,擰,嬣
嬥	
燿	爠,嬥
嬦	燽,嬻
嬻	殰,櫝,嬦,鑟,牘,續,襩,犢
燽	嬦
嬧	孂,燼
孂	嬧
燼	嬧
嬩	礖,穥
礖	穥,嬩
䑂	腵,礖,嬩
礗	碡,礩,蠙,嬪
䧬	嬪
礝	礭,燸,臑,繻,礵,曘,嬬,糯,獳,隭
繻	臑,燸,礝,擩,曘,嬬,糯,獳,襦,檽,鑐,蠕,隭
臑	燸,臐,礝,譳,繻,曘,嬬,糯,獳,臛,隭
隭	臑,礝,繻,曘,嬬,獳,臛
㹘	燸,礝,繻,嶿,曘,嬬,糯,獳,鑐,羺,蠕
䇕	燸,礝,嶿,曘,嬬,羺,蠕
嬭	穪,鑈,镾,獮
獮	穪,鑈,嬭
穪	禰,檷,獮,鑈,嬭
鑈	穪,獮,镾,嬭
镾	鑈,嬭
嬮	饜,擪
擪	饜,黶,嬮
嬳	鑊,護,矱,檴
檴	嬳,鑊,穫,濩,镬,瓁,矱
矱	耯,鑊,護,嬳
護	耯,鑊,嬳,矱
鑊	韄,耯,檴,鳠,嬳,護,矱
臝	贏,驘,嬴,羸,蠃,鸁,赢
贏	驘,臝,嬴,羸,蠃,鸁,赢
驘	贏,臝,嬴,羸,蠃,鸁,赢
䇔	贏,驘,臝,嬴,羸,蠃,鸁,赢
䊨	贏,驘,臝,嬴,羸,蠃,鸁,赢
䶍	嬶
殰	嬻,鑟,殨,牘,續,襩,贖
牘	殰,嬻,鑟,續,襩,贖,犢
犢	殰,嬻,鑟,牘,續,襩
續	殰,櫝,嬻,鑟,牘,襩,犢
鑟	嬻,牘,續,襩,犢
嬾	櫴,瓎,襰
櫴	嬾,瓎,襰
瓎	嬾,櫴,襰
襰	嬾,櫴,瓎
㸊	嬾,櫴,瓎,襰
䄤	嬾,櫴,瓎,襰
孀	
礵	曤,礭,骦,礝,孀
孁	霎,靈
靈	霾,霞,霤,薑,靊,孁
纕	镶,蠰,鑲,穰,孃,爙,禳
鑲	镶,纕,蠰,穰,孃,爙,禳,讓
孄	爛,鑭,襴
斕	瓓,鑭,躝,襴,欄,孄
欄	瓓,鑭,橌,櫩,躝,櫊,斕,讕,攔,襴,孄
襴	瓓,鑭,襽,襉,櫩,躝,斕,讕,欄,孄
鑭	瓓,鐗,躝,斕,躙,讕,襴,欄,孄
䃹	瓓,鑭,躝,礀,斕,讕,瞯,襴,欄,孄
孅	鑯,纖,殲
娬	陚,孅
殱	攕,孅,殲
殲	攕,孅,殱
纖	孅,鑯
鑯	鐡,孅,纎,纖
䃸	孅,纖
䑎	孅,纖,鑯
孆	櫻
櫻	攖,孆,欔,樱,撄,瓔
䙬	攖,孆,孾,樱,撄,櫻
孇	欆
欆	孇
	摱,欆,孇
孈	纗,瓗,攜,讗
瓗	孈,纗,攜,讗
纗	孈,蠵,鑴,讗,攜
讗	孈,鑴,纗,攜
㜵	孈
孉	矔
孊	戂
戂	孊,攠
䃺	孊,礳
孌	孿,變
孿	曫,孌,變
變	孿,孌,欒
㘘	灓,孌,巒,變
曮	讝,礹,孍,玁
孎	蠾,钃
钃	蠾,孎
䌵	蠾,孎,钃
䙱	蠾,孎,钃
䠱	蠾,孎,钃
子	孑,孒,玊,孓,干,王
孑	孒,子,孓
孓	孒,子,孑
孒	子,孓,孑
孖	
㜿	孖,抒
孠	孧
孧	孠
孢	枹,怉,玸,饱,狍,袍
孥	孯,砮
砮	硩,孥
㝁	孧
孭	
㸽	狽,孭
孮	棕,粽,徖,猔
猔	粽,猄,狳,孮,碂
粽	棕,孮
孯	蜸
孳	孶
孶	孳
孴	罯,罾
罯	罾,孴,罶,罨,詈
罾	孴,罶,讋,賈
孷	犛,氂
氂	孷
孹	擘,繴,甓
繴	鐾,糪,孹
譳	臑,謣,孺,繻,襦
孼	櫱,蠥,糱
櫱	糱,孼,蠥,檗
糱	櫱,孼,蠥
蠥	櫱,孼,蟹,糱
孽	糵
糵	蘖,孽
孾	攖
攖	孾,樱,撄,瓔,櫻
宀	
	宀
宄	艽
艽	宄,芄
宅	蛇
蛇	宅,蛕,虼,岮
宆	审,実
宊	宍
宍	宊
宋	末
㭉	宋
㲾	宋
宎	芺
芺	芙,芉,宎
宑	竎
竎	宑
宒	芼
芼	宒
䇠	宔,至
宕	岩
岩	宕
宖	
苰	宖
䆑	穼,宗
宦	室,宜,官,害,宫,宧,杳,宮
宮	宿,宜,官,首,宫,宦,宧
苖	芇,苦,宙,苗
実	审,雵
雵	霊,霁,霌,実,電
眘	宣,甞
峟	宥,肓
䒴	萓,菴,育,窘,惹,菅,蒮,宥,荂
宧	首,宿,宦,宮
杗	宩
㚓	宩
尭	宪
宭	莙
莙	宭
㐆	直,宭,肙
宯	
䓔	菙,宯
峷	宰
宲	宷
宷	宲,粊,粜
昚	杳,害
荅	害
㖖	音,害,昔
宴	寓,隻,崣
崣	萎,宴
粊	宷,粜
粜	宷,祟,粊
宸	莀,袁
莀	宸
袁	宸,袬,蓑
宻	
窑	宻
宼	
寁	竃,踅,萐,眚,童
眚	曺,胷,萱,曹,寁,甧,蕃,胄
莗	萐,萛,茟,睾,寁,萭,蔩,蕫,華
萐	蒪,藌,菫,踅,萱,葟,寁,蔩,蕃,童,莗
踅	躄,寁,萐
㟢	寄
寈	薲,書,寰,簀,膏,蕾,瞢,簣,萺,菁,董
書	寭,寚,暮,責,簹,寈,謩,膏,簣,寘,貫,貴,耋,憲,薯,疐
瞢	暮,薯,寈,蕾,蕓,蓇,舋,萺,薨,菁,蘁,蓍,董,甍
窧	寈,責,罩,董
簀	薲,賫,寈,薑,篳,簣,菁,董
簣	簹,寈,簀,篳,蕢,簒,菁,實
膏	賽,責,簹,寈,謩,賫,實
菁	蔫,薲,箐,賫,寈,菷,貰,簀,舊,蓇,瞢,簣,蕢,萺,蒖,蓸,蔷,蘁,董,甍
萺	薲,簹,寈,薯,蕾,簀,舊,蕽,瞢,簣,菁,蘁,蓍,董
